Pt-0,True,3406.549795,5046.106059,5427.799162,10818.830598,3974.000000,8465.469430
Pt-1,True,4303.073371,5331.948869,5285.501136,9974.862252,3974.000000,8649.912844
Pt-2,True,6235.007564,5362.822183,8039.217719,8029.822622,3974.000000,6347.164775
Pt-3,True,6444.709799,4568.547411,12510.131903,7895.681957,3974.000000,2300.588072
Pt-4,True,3863.746752,4417.983892,9403.104349,10287.857135,3974.000000,4966.633773
Pt-5,True,5273.914689,6465.293788,822.454594,9007.931631,3974.000000,12685.311158
Pt-6,True,5643.685849,6449.556563,1462.736535,8476.958169,3974.000000,12137.570113
Pt-7,True,6388.370535,6058.523936,4631.742131,7951.573901,3974.000000,9404.454080
Pt-8,True,5170.242213,4409.519540,8511.999423,8932.308577,3543.380770,5844.000000
Pt-9,True,3507.493562,4980.171572,8516.764174,10564.188803,4452.276086,5844.000000
Pt-10,True,8835.646673,2117.013234,8329.276201,6157.423637,513.729719,5844.000000
Pt-11,True,7141.248422,4673.426349,8662.890572,7183.373652,3095.818683,5844.000000
Pt-12,True,4934.700607,7460.569385,10044.978891,8650.000000,6691.463590,4866.279550
Pt-13,True,5456.836444,7208.530728,1276.810838,8650.000000,4862.311796,12421.471743
Pt-14,True,7709.361321,3864.984951,6544.699951,7294.620462,1934.000000,7420.290089
Pt-15,True,7598.972711,4193.720052,4658.667672,7272.263685,1934.000000,9002.032087
Pt-16,True,5911.936679,2604.606619,10424.922845,8658.383881,1934.000000,4077.951873
Pt-17,True,3915.867294,6279.483249,3613.350078,9876.828248,4657.000000,10701.147167
Pt-18,True,3533.259060,5219.977039,8577.797464,10536.353180,4657.000000,5799.423730
Pt-19,True,6151.621342,6467.136801,6005.472228,8121.821224,4657.000000,8331.328766
Pt-20,True,6169.573178,6678.350008,6054.858621,8082.696864,4856.000000,8342.507155
Pt-21,True,6826.683042,4716.212531,2075.867136,7809.960574,2180.037797,11392.000000
Pt-22,True,6078.873186,10042.307315,2921.914601,7362.398487,7123.877467,11392.000000
Pt-23,True,5630.778652,5663.912742,10547.893262,8323.032221,4856.000000,4335.054812
Pt-24,True,6897.497688,5586.693176,12863.214255,7305.798851,4856.000000,2311.766461
Pt-25,True,5771.554167,8216.224359,8913.128428,7814.415536,6887.000000,6090.061835
Pt-26,True,6197.252224,6921.720446,6494.428887,7993.269755,5151.000000,8046.279855
Pt-27,True,7954.953877,7197.824732,7702.546998,6249.441120,5151.000000,6738.408379
Pt-28,True,7887.782291,7441.086212,7268.957599,6249.441120,5317.000000,7107.295206
Pt-29,True,6287.892617,7139.994386,6429.668800,7875.896673,5317.000000,8113.350187
Pt-30,True,3744.166063,6885.291214,3923.535660,9994.201329,5317.000000,10438.455033
Pt-31,True,4630.162189,7464.172548,2232.603535,9083.162651,5317.000000,11723.969731
Pt-32,True,7702.737109,5784.448097,1801.675022,6802.771360,2871.000000,11684.845371
Pt-33,True,7250.249758,5765.613300,1217.408342,7227.550130,2871.000000,12204.640445
